Country,Age25â€“64(%)
Australia,42
Austria,30
Belgium,37
Brazil,14
Canada,54
Chile,21
China,17
Colombia,22
Costa Rica,18
Czech Republic,22
Denmark,36
Estonia,38
Finland,42
France,32
Germany,27
Greece,28
Hungary,23
Iceland,37
Indonesia,8
Ireland,41
Israel,49
Italy,17
Japan,48
Latvia,30
Lithuania,37
Luxembourg,46
Mexico,19
Netherlands,34
New Zealand,36
Norway,42
Poland,27
Portugal,22
Russia,54
Saudi Arabia,22
Slovakia,20
Slovenia,29
South Africa,7
South Korea,45
Spain,35
Sweden,39
Switzerland,40
Turkey,17
United Kingdom,42
United States,44
